curve_num,n_points,n_unique_time,time_min,time_max,pop_min,pop_max,PopBio_units
55,8,8,1.5516700678572,223.857722671927,2.7442454818655198,564.8194553833629,CFU
56,9,9,3.10334013571435,169.75106921612,2.7705253568895203,207.924797483952,CFU
57,9,9,3.108794160557411,222.333322728285,2.71834877343238,508.7280880675699,CFU
58,10,10,1.5516700678572,342.275510064948,2.7442454818655198,210.55279422401398,CFU
59,19,19,1.5624999999999398,598.4374999999999,2.723523569376941,2.7573246936310203,CFU
60,8,8,3.1249999999999702,239.0625,2.77080979773788,147.348512731609,CFU
61,8,8,3.1249999999999702,237.5,2.77080979773788,200.389009320527,CFU
62,7,7,1.5624999999999398,189.0625,2.7708791218149798,225.21370566046895,CFU
63,17,17,3.125,526.5624999999999,2.744317150851401,115.401101274884,CFU
64,18,18,3.1364990362712595,598.4609543835059,2.72295772781862,2.7709895272579708,CFU
65,7,7,3.1481805969277707,241.97476782898198,2.7703684050811397,389.0855759219749,CFU
66,8,8,3.1481805969277707,266.94994451258697,2.7703684050811397,373.53029631187894,CFU
67,8,8,3.1598621575842594,217.10472519128595,2.7969937788592505,432.738611861733,CFU
68,14,14,4.69890777407863,527.6852987559139,2.7437914465558007,316.550203321267,CFU
69,18,18,0,601.6260162601621,2.7309366786460307,523.4832703166472,CFU
70,9,9,1.6260162601626,117.073170731707,2.74565157613925,715.1026743159339,CFU
71,10,10,3.2520325203251996,588.6178861788621,2.7632798320977106,2.8048538340525497,CFU
72,16,16,1.6260162601626,600,2.7405404677594505,2.8007667600441,CFU
73,12,12,1.6260162601626,458.53658536585397,2.74565157613925,743.9997721510281,CFU
74,19,19,5.187144019528029,601.4442636289659,2.7177825144575305,455.682528803618,CFU
75,7,7,3.4682668836452395,99.5423108218064,2.7469789890441194,281.299425104086,CFU
76,10,10,1.73921887713601,213.598454027665,2.74563363418563,262.86295467758697,CFU
77,17,17,1.7290480065093998,601.7290480065091,2.6856875223971004,2.7386651731760696,CFU
78,13,13,1.72904800650952,461.48291293734695,2.7181153802666502,592.9837449787673,CFU
79,13,13,74.99722962129954,530.3982368078671,2.7482793003594503,134.43879047690402,CFU
80,14,14,3.18901370414002,271.4601742670809,2.74507240855334,1308.2740622595898,CFU
81,11,11,30.316561939511402,269.94816313631503,2.7462834609730598,959.7004189261481,CFU
82,16,16,1.59327557264757,599.997537441155,2.7244953452514706,2.7851037382502803,CFU
83,9,9,1.59327557264757,337.222808220022,2.74500118680927,192.27475508145994,CFU
84,22,22,-1.1368683772161599e-13,480.369515011547,0.0026666666666663704,0.221222478829868,OD_595
85,15,15,0.27540167103521207,144.059244842758,0.00265251989389981,0.299734748010611,OD_595
86,17,17,0.27944111776449204,143.912175648703,0.005347593582887719,0.37700534759358295,OD_595
87,29,29,-3.7230338844144604,672.0501334056339,-0.0034346558874094302,0.004421795954081321,OD_595
88,22,22,2.77136258660506,480.369515011548,0.00533333333333341,0.17333333333333403,OD_595
89,14,14,1.2958619534259999,177.465655888759,0.00531914893617014,0.2872340425531919,OD_595
90,15,15,0.5490196078431421,143.843137254902,1.0402038799650599e-5,0.28563478441774603,OD_595
91,29,29,-1.4210854715202e-14,672.2891566265062,-0.0011838658983759401,0.00661079099004735,OD_595
92,22,22,-0.923787528868374,479.4457274826789,0.00800000000000023,0.33599999999999997,OD_595
93,12,12,1.9437929301390398,184.81571452504596,0.00797872340425521,0.351063829787234,OD_595
94,15,15,0,143.843137254902,0.00265251989389936,0.351947781765226,OD_595
95,29,29,-1.4210854715202e-14,669.879518072289,0.00521739130434795,0.28515103893836197,OD_595
96,24,24,-1.1368683772161599e-13,479.4457274826789,0.015999999999999102,0.5531208622016931,OD_595
97,17,17,-0.27979637855170797,144.069499160297,0.010610079575597498,0.5676392572944302,OD_595
98,17,17,0.27944111776446307,144.19161676646698,0.0187165775401064,0.641711229946525,OD_595
99,29,29,-1.27551806367717,671.3920400278521,0.0160678304485264,0.31956348937376405,OD_595
100,24,24,-1.1368683772161599e-13,479.4457274826789,0.00802463433410305,0.687150115473441,OD_595
101,15,15,0.552268244575856,144.14201183432,0.0159046557740703,0.797048221451405,OD_595
102,17,17,0.0037136066547987,144.09165181224,0.0133689839572189,0.7780748663101601,OD_595
103,29,29,-3.410605131648479e-13,670.588235294118,0.014076246334311104,0.404692082111437,OD_595
104,23,23,-1.1368683772161599e-13,480.369515011547,0.00266666666666593,0.752954580446496,OD_595
105,16,16,-0.28199373230995706,143.690089411371,0.0212201591511936,0.8037135278514589,OD_595
106,18,18,0,143.632734530938,0.029411764705882696,0.8181818181818181,OD_595
107,29,29,-1.2459408332150599,672.0464362518261,-1.5158330611808601e-4,0.0103557278155368,OD_595
108,25,25,5.488808628780601,479.830962384217,0.029157760251591096,0.7247917741578841,OD_595
109,16,16,0.5453174736136721,143.74759172390694,0.018617021276595896,0.7978723404255319,OD_595
110,18,18,0.004504021447715441,144.008579088472,0.016085790884719002,0.8739946380697052,OD_595
111,29,29,-0.03841452767591141,672.247249869041,0.003478260869565371,0.0139130434782615,OD_595
112,30,30,-1.4210854715202e-14,479.4457274826789,0.026666666666666804,0.858666666666667,OD_595
113,17,17,3.8201541296699597,277.156140056961,0.029255319148936202,0.9521276595744681,OD_595
114,17,17,0,143.843137254902,0.0265251989389923,0.9562646278670619,OD_595
115,29,29,-4.2632564145606005e-14,669.879518072289,0.0295652173913047,0.581917234154007,OD_595
116,9,9,0.004715517776261888,12.0342495501644,90.21562544576142,2095.5620804127693,N
117,6,6,0.0015373138842131899,5.01950624502263,51.4457901258215,2790.3455071764706,N
118,8,8,-0.013669287049786802,9.00641042427163,36.4881106576891,417.31362274889295,N
119,7,7,0,5,60.1988620095063,7585.676560749591,N
120,7,7,0.0022969776093759693,5.80316668793498,36.2666102451464,4292.525233541542,N
121,5,5,0.01900972373190649,3.7528588362015993,36.3243595048996,9203.083149119391,N
122,6,6,0.00104912922274547,1.8076696342036098,100.314986290562,9485.78113866936,N
123,6,6,0,1.80778032036613,101.057589347325,14849.149065112204,N
124,7,7,0.0032482598607890306,1.4032482598607898,36.37152735026099,8212.8052083955,N
125,6,6,5.418719211821581e-4,1.1957142857142897,81.96153075083201,10903.891250846402,N
126,7,7,-0.007533205577217038,6.017445318178809,32.57868468019329,547.3679570018008,N
127,29,29,0.923787528868161,479.4457274826789,0.05867282525019159,0.77428791377983,OD_595
128,17,17,-0.010986768791241299,143.92081155598802,0.0397877984084887,0.883289124668435,OD_595
129,18,18,0,143.912175648703,0.0401069518716572,0.9117647058823528,OD_595
130,29,29,-0.034922297887220594,671.0424305919329,0.003478260869565371,0.012173913043478798,OD_595
131,34,34,-0.127760988673487,478.956291000221,0.00529471020368089,0.8544630353062579,OD_595
132,17,17,-0.011727257497067699,143.61346121628398,0.03989361702127692,0.9468085106382982,OD_595
133,18,18,0.007506702412868549,144.17297587131398,0.026809651474531297,0.9356568364611262,OD_595
134,29,29,-0.090797974506728,670.3404924043998,0.036521739130434897,0.39826086956521806,OD_595
135,16,16,0.9507581723678982,368.90562579647496,88.14579087720288,1971189388.87363,N
136,18,18,0.9450307134981702,124.69823451080299,83.67230838259876,2119130664.1886897,N
137,16,16,1.8843339681267004,80.310428270737,103.06539786789499,3546849027.97338,N
138,13,13,1.4146823408123899,34.57666919629429,92.86398523635339,7701034689.0936,N
139,11,11,-0.8763012070619711,337.47333151963795,47.3272189063536,764.8471552023128,N
140,13,13,0,145.235223160434,46.81266781732779,938075185.9363441,N
141,14,14,0,102.291917973462,90.51309220527331,1716814307.6915197,N
142,13,13,-0.48250904704463005,57.9010856453559,132.968185136938,1813784382.7115898,N
143,11,11,0,33.293124246079614,49.45676735086439,2138812239.2701898,N
144,9,9,0.48250904704463005,339.68636911942104,44.309929369801,50220.361156634295,N
145,19,19,6.27261761158023,383.59469240048196,58.31935721413,201415222.91705102,N
146,151,151,1.48665549708571,345.07029166765,1.1749151494510004,7072.428709472921,N
147,87,87,1.5196922859098296,124.750011798853,2.4793403654517396,25068.9729659811,N
148,108,108,0.994436867528478,56.1367785553096,1.3393109631705702,21271.2710320127,N
149,87,87,0.057355372409691796,51.9557473900689,2.1826192574497703,27151.7357484672,N
150,7,7,0.0638097966962192,506.545675047145,1.11971188940429,4.274690786277691,DryWeight
151,7,7,0.06380979669626188,506.64642735771804,1.11971188940429,4.384114713284209,DryWeight
152,6,6,0.06380979669626188,434.0812548726939,1.11971188940429,5.54762533237058,DryWeight
153,6,6,0.06716820704868103,433.429723264322,1.1250310672344896,3.0533084189979105,DryWeight
154,7,7,1.18956438487308,504.69363331737696,1.7296218890391595,3.73402205593353,DryWeight
155,7,7,1.19291527046427,503.034944949737,1.71323767456612,4.523966572445248,DryWeight
156,7,7,1.19291527046431,502.80038295835396,1.8374981174939897,5.622204700330749,DryWeight
157,7,7,1.18956438487308,502.83389181426503,1.84626348837631,5.360914369842078,DryWeight
158,23,23,0.91889634161322,479.924326183632,0.0026227856809413206,0.6396710154541672,OD_595
159,17,17,-0.00366476796782322,144.03930725414597,0.0106382978723403,0.6861702127659569,OD_595
160,17,17,0.0030026809651459998,144.278069705094,0.010723860589813198,0.6836461126005361,OD_595
161,29,29,-1.2327571154182202,671.4894360048891,0.005217391304347619,0.4434782608695651,OD_595
162,23,23,0,480.369515011548,0,0.7013333333333339,OD_595
163,15,15,2.5917239068520503,193.37954431228002,0.0106382978723405,0.75,OD_595
164,16,16,0.27450980392157504,144.11764705882402,0.0053102408071981095,0.7515733083684399,OD_595
165,29,29,-4.2632564145606005e-14,671.0843373493982,0.005217391304347839,0.5194447354635942,OD_595
166,26,26,0,480.369515011548,0,0.7946666666666669,OD_595
167,15,15,1.5714525046071202,177.74124643994,0.00531914893617014,0.856382978723404,OD_595
168,15,15,0,144.11764705882402,0.00265251989389936,0.854569095542726,OD_595
169,31,31,-1.4210854715202e-14,671.0843373493982,0.00521739130434795,0.5644525929806179,OD_595
170,24,24,-0.00491388417974292,479.56561263851,0.0026350703913911003,0.636704257880642,OD_595
171,17,17,0.2741246439939681,143.728534930474,0.00265957446808462,0.7101063829787229,OD_595
172,16,16,0.28297682709444416,143.91117052881697,0.0187165775401066,0.36631016042780706,OD_595
173,29,29,1.18037366858741,672.1983586519991,0,0.0365217391304353,OD_595
174,8,8,-0.258645464124918,93.29437685602058,1.03272814726172,760534.432499603,CFU
175,8,8,0,90.97423124820381,1,1032728.14726171,CFU
176,7,7,-0.25098189481750705,378.628221093974,1.0494917307002498,560082.1712385389,CFU
177,5,5,0,262.170706006322,1,2424462.01708232,CFU
178,6,6,-0.27397260273972507,190.70792221477097,1,1674080.0609081,CFU
179,5,5,-0.258645464124918,190.72708113803998,1.03272814726172,3455107.2945922003,CFU
180,11,11,36.05699855699859,194.33621933621905,0.998292058485558,3500.57934416505,CFU
181,13,13,9.63649762377432,204.17744490565303,0.976118947488415,1917.28413795579,CFU
182,13,13,10.2371806597159,202.565392354125,1.04397547075625,535.5290228430629,CFU
183,12,12,6.74603174603175,115.42207792207799,1.0873686376951797,6166.72435317242,CFU
184,12,12,7.443251318454401,127.46082235456899,1.3026461843735002,5349.67399309702,CFU
185,12,12,5.8548259252484485,122.971668394204,1.2695393867751796,1082.9893771039701,CFU
186,9,9,6.74603174603175,54.5454545454543,1.2628023432938,2797.0617951471,CFU
187,9,9,5.892312859692399,65.7836030399647,1.98881224454984,4390.00398487021,CFU
188,8,8,12.269577058309501,59.54819828059271,1.4846048904218498,690.5985500799751,CFU
189,10,10,48.23232323232321,629.4913419913421,1.2099732967921295,2567.9281895671597,CFU
190,11,11,47.4073322103912,633.5210752170691,1.0205286122329997,516.029378475618,CFU
191,11,11,24.743409954677595,646.7392740280061,1.17398845300731,384.023683071786,CFU
192,6,6,217.784992784993,580.7900432900431,19.880584252266498,1268.67267576939,CFU
193,7,7,71.5330415689106,514.960446369488,1.3747733992093898,1394.77386539106,CFU
194,7,7,73.36214255228337,522.3248582403511,1.0338142172174194,167.22280310400197,CFU
195,13,13,0.4329004329004531,318.34415584415603,0.956528739103029,910.9881728096881,CFU
196,11,11,-0.8910846417613809,324.64933124786995,0.972455776677133,656.209980383781,CFU
197,12,12,-1.04261935247851,329.253551612707,1.0338142172174194,233.19568112839997,CFU
198,23,23,1.8475750577366599,479.4457274826789,0.00540723633564255,0.29984295612009204,OD_595
199,13,13,0.552268244575913,144.14201183432,0.0105996159862718,0.25328164320206803,OD_595
200,17,17,0.001485442661874,144.21345811051697,0.005347593582887719,0.192513368983957,OD_595
201,29,29,-3.410605131648479e-13,670.5882352941171,0.00527859237536665,0.283284457478006,OD_595
202,23,23,0.923787528868274,480.369515011547,0.00804926866820632,0.286509622786759,OD_595
203,13,13,-0.27613412228802797,144.142011834319,0.005310271582461109,0.31072674859657096,OD_595
204,15,15,1.1177956030897198,144.21345811051697,0.024064171122994304,0.27272727272727204,OD_595
205,29,29,-4.5474735088646397e-13,671.805273833671,0.0035190615835777304,0.170674486803519,OD_595
