curve_num,n_points,n_unique_time,time_min,time_max,pop_min,pop_max,PopBio_units,has_nonpositive,has_decline
207,8,8,-0.0126794421254921,9.003582295916502,49.4381414387978,304.24122034244,N,FALSE,FALSE
208,7,7,-0.01160092807424599,4.98839907192575,43.79451330390001,1360.86006402141,N,FALSE,FALSE
209,7,7,0.00359270856851168,5.814415988534739,50.35709469823318,2341.420441722629,N,FALSE,FALSE
210,5,5,0.0256987856401567,3.74616977429334,60.868568793587706,5492.09727594766,N,FALSE,FALSE
211,6,6,8.49295085079582e-4,1.80726996592828,73.84507853777477,5635.051061733761,N,FALSE,FALSE
212,6,6,0,1.80778032036613,73.79419467353812,10986.118462739203,N,FALSE,FALSE
213,7,7,0.00324825986078903,1.4032482598607898,53.7536328644836,6584.358204460322,N,FALSE,TRUE
214,6,6,0.00162561576354669,1.19652709359606,41.21284584035471,6021.700659591031,N,FALSE,FALSE
215,7,7,0.00911914359347054,6.01652018766934,36.035243868217194,122.009267692657,N,FALSE,FALSE
216,4,4,0.134378499440572,2834.311310190371,1.0106950857599897,591.687558881872,N,FALSE,FALSE
217,5,5,24.6160455375375,4103.40457523359,1.01036372073517,1225.8302445674797,N,FALSE,FALSE
218,4,4,25.395380589373193,4052.0650813516895,0.978836777223656,1637.7350819744302,N,FALSE,FALSE
219,4,4,0,4185.48712206047,1,1557.8529369707298,N,FALSE,FALSE
220,4,4,24.4871657179674,3987.92825690044,0.9997852233685232,2166.36872640319,N,FALSE,FALSE
221,4,4,0,4123.33598816703,0.989361802994066,1079.1804821513897,N,FALSE,FALSE
222,6,6,0.134378499440572,2925.82306830907,1.0106950857599897,2054.2366015201596,N,FALSE,FALSE
223,5,5,0,3009.3437869187,1,2352.12847604084,N,FALSE,FALSE
224,4,4,527.841620207076,2835.4078962339304,28.131737734355,3282.1588947933597,N,FALSE,FALSE
225,6,6,0.134378499440572,2904.99440089586,1.0106950857599897,2918.2033192366903,N,FALSE,FALSE
226,6,6,24.6160455375375,2837.9336268929205,1.01036372073517,2355.66779165304,N,FALSE,FALSE
227,5,5,-0.136534304244151,2833.22334736602,0.978836777223656,2765.9341080674703,N,FALSE,FALSE
228,6,6,-25.263157894740296,8265.89025755879,1,591.6875588818709,N,FALSE,FALSE
229,8,8,0,12080.8076468693,1,734.5743097291872,N,FALSE,FALSE
230,6,6,25.395380589373193,12410.4221185573,0.978836777223656,463.60710318964806,N,FALSE,FALSE
231,8,8,25.263157894734796,11146.1590145577,1,604.41153735083,N,FALSE,FALSE
232,7,7,24.6160455375375,9244.162818172052,1.01036372073517,1032.7325030645702,N,FALSE,FALSE
233,7,7,25.395380589373193,13608.783706906404,0.978836777223656,407.766695936561,N,FALSE,FALSE
234,9,9,0.0141465533287821,12.0519947881119,246.31419329592796,13869.464914207798,N,FALSE,FALSE
235,6,6,0.00312503150233389,5.0106603897216715,135.89659601544403,13657.258693885398,N,FALSE,FALSE
236,8,8,-0.00730599825074663,8.995333588214041,90.1211448479806,12871.499853963598,N,FALSE,FALSE
237,7,7,0,4.98839907192575,82.75093115492407,15276.2405790605,N,FALSE,FALSE
238,7,7,0.00665534538101297,5.804992490650121,111.28423446823902,6865.871234365972,N,FALSE,FALSE
239,5,5,0.0259692991732128,3.743095756872271,149.096509589482,10392.3806265307,N,FALSE,FALSE
240,6,6,0.00147877261872685,1.80726996592828,193.825529996315,5140.25397163524,N,FALSE,FALSE
241,6,6,0,1.80778032036613,162.2737659293379,13025.8806127997,N,FALSE,FALSE
242,7,7,0.00324825986078903,1.4032482598607898,90.02039474175629,5569.364610525811,N,FALSE,FALSE
243,6,6,-1.2315270935958595e-4,1.19573891625616,124.976410063433,9928.1059632567285,N,FALSE,FALSE
244,7,7,0.00277539152844763,6.01044075860702,110.295736071707,16987.3351282432,N,FALSE,FALSE
245,12,12,26.922832443427396,205.80186880244105,1.0145982827632798,554.9292231231849,CFU,FALSE,FALSE
246,11,11,13.978494623655902,198.387096774194,1.04473257151008,1666.08119392629,CFU,FALSE,FALSE
247,13,13,12.5123548307388,206.42914504571303,1.01895678358003,1953.66971619438,CFU,FALSE,TRUE
248,11,11,21.4562674802949,124.868103229087,1.3233855143005602,1747.9231223148297,CFU,FALSE,FALSE
249,9,9,26.344086021505294,118.81720430107502,4.314539066499588,1153.88261516185,CFU,FALSE,FALSE
250,12,12,8.71324437855202,125.02625401532,2.48630611748292,2222.91076165443,CFU,FALSE,FALSE
251,9,9,7.185990338164249,61.42257818459191,1.2918026517151395,2198.7673215157097,CFU,FALSE,FALSE
252,9,9,6.989247311827971,55.91397849462359,3.1670108612222005,922.379495488011,CFU,FALSE,FALSE
253,9,9,6.9526809982703,61.51470224857921,2.0849435572844603,2529.25671791876,CFU,FALSE,FALSE
254,10,10,50.33848207475209,653.7503178235439,1.0145982827632798,26.4528080952361,CFU,FALSE,TRUE
255,9,9,98.92473118279568,566.6666666666671,1.04734832520669,823.1828035759061,CFU,FALSE,FALSE
256,10,10,50.33358042994809,581.4677538917718,0.9953161678336496,663.582098863891,CFU,FALSE,FALSE
257,7,7,150.484680905161,605.4649758454109,1.76835247702619,296.136724874978,CFU,FALSE,TRUE
258,8,8,74.19354838709678,590.8602150537628,1.0593329418102102,301.02002603050397,CFU,FALSE,FALSE
259,6,6,151.44242648875704,530.643068939956,3.2952705139848595,461.18663854075203,CFU,FALSE,TRUE
260,14,14,-0.648360030511071,381.0815535214849,0.9903846898248398,435.848491322112,CFU,FALSE,FALSE
261,14,14,1.0752688172042897,324.7311827956989,1.02943205969681,1491.55860258709,CFU,FALSE,TRUE
262,14,14,-0.09729429206821294,335.18192488262895,1.01895678358003,1600.28060711964,CFU,FALSE,TRUE
263,23,23,-0.9237875288686148,480.369515011547,0.00532717474980693,0.227621247113164,OD_595,FALSE,TRUE
264,13,13,1.10233913539358,144.088542892868,0.00795755968169809,0.2307692307692321,OD_595,FALSE,TRUE
265,15,15,0.27944111776452,143.912175648703,0.00534759358288771,0.16310160427807596,OD_595,FALSE,TRUE
266,29,29,-1.2459408332151698,671.7358753319741,0.00178202813534067,0.15563538669147806,OD_595,FALSE,FALSE
267,22,22,1.8377926832264495,479.22655463010693,0.00527014078278175,0.25903540453551493,OD_595,FALSE,TRUE
268,15,15,-0.00586362874852497,143.82162003685698,0.01861702127659549,0.25,OD_595,FALSE,TRUE
